Created as New Dataset,CYN02065-1, Fe2S2(CO)6
cm-1,A
1884.00,0.0013
1883.00,0.0013
1882.00,0.0013
1881.00,0.0013
1880.00,0.0013
1879.00,0.0013
1878.00,0.0013
1877.00,0.0013
1876.00,0.0013
1875.00,0.0012
1874.00,0.0012
1873.00,0.0012
1872.00,0.0012
1871.00,0.0011
1870.00,0.0010
1869.00,0.0009
1868.00,0.0010
1867.00,0.0010
1866.00,0.0010
1865.00,0.0010
1864.00,0.0010
1863.00,0.0010
1862.00,0.0010
1861.00,0.0010
1860.00,0.0010
1859.00,0.0010
1858.00,0.0010
1857.00,0.0010
1856.00,0.0010
1855.00,0.0010
1854.00,0.0010
1853.00,0.0010
1852.00,0.0010
1851.00,0.0010
1850.00,0.0010
1849.00,0.0009
1848.00,0.0009
1847.00,0.0009
1846.00,0.0008
1845.00,0.0008
1844.00,0.0008
1843.00,0.0009
1842.00,0.0009
1841.00,0.0009
1840.00,0.0009
1839.00,0.0009
1838.00,0.0009
1837.00,0.0009
1836.00,0.0009
1835.00,0.0009
1834.00,0.0009
1833.00,0.0008
1832.00,0.0008
1831.00,0.0008
1830.00,0.0007
1829.00,0.0008
1828.00,0.0008
1827.00,0.0008
1826.00,0.0008
1825.00,0.0009
1824.00,0.0009
1823.00,0.0010
1822.00,0.0010
1821.00,0.0010
1820.00,0.0010
1819.00,0.0010
1818.00,0.0009
1817.00,0.0009
1816.00,0.0009
1815.00,0.0009
1814.00,0.0009
1813.00,0.0009
1812.00,0.0008
1811.00,0.0008
1810.00,0.0008
1809.00,0.0008
1808.00,0.0008
1807.00,0.0008
1806.00,0.0008
1805.00,0.0008
1804.00,0.0008
1803.00,0.0008
1802.00,0.0007
1801.00,0.0007
1800.00,0.0007
1799.00,0.0007
1798.00,0.0007
1797.00,0.0007
1796.00,0.0007
1795.00,0.0007
1794.00,0.0006
1793.00,0.0006
1792.00,0.0007
1791.00,0.0007
1790.00,0.0008
1789.00,0.0009
1788.00,0.0009
1787.00,0.0009
1786.00,0.0008
1785.00,0.0008
1784.00,0.0008
1783.00,0.0008
1782.00,0.0007
1781.00,0.0007
1780.00,0.0007
1779.00,0.0007
1778.00,0.0007
1777.00,0.0007
1776.00,0.0007
1775.00,0.0006
1774.00,0.0005
1773.00,0.0005
1772.00,0.0006
1771.00,0.0007
1770.00,0.0007
1769.00,0.0008
1768.00,0.0009
1767.00,0.0009
1766.00,0.0010
1765.00,0.0010
1764.00,0.0009
1763.00,0.0009
1762.00,0.0009
1761.00,0.0009
1760.00,0.0010
1759.00,0.0009
1758.00,0.0009
1757.00,0.0009
1756.00,0.0010
1755.00,0.0010
1754.00,0.0009
1753.00,0.0008
1752.00,0.0008
1751.00,0.0007
1750.00,0.0007
1749.00,0.0006
1748.00,0.0006
1747.00,0.0007
1746.00,0.0007
1745.00,0.0006
1744.00,0.0006
1743.00,0.0006
1742.00,0.0006
1741.00,0.0006
1740.00,0.0006
1739.00,0.0006
1738.00,0.0006
1737.00,0.0005
1736.00,0.0005
1735.00,0.0004
1734.00,0.0005
1733.00,0.0006
1732.00,0.0007
1731.00,0.0006
1730.00,0.0007
1729.00,0.0008
1728.00,0.0008
1727.00,0.0008
1726.00,0.0008
1725.00,0.0007
1724.00,0.0007
1723.00,0.0007
1722.00,0.0007
1721.00,0.0007
1720.00,0.0006
1719.00,0.0005
1718.00,0.0004
1717.00,0.0004
